Sample processed row:
                                          clean_text  label
0  i dont think im getting my baby them white 9 h...      0
1  we cannot continue calling ourselves feminists...      0
2                      nawt yall niggers ignoring me      0
3  user i am bit confused coz chinese ppl can not...      1
4  this bitch in whataburger eating a burger with...      1
{'loss': 0.6693, 'grad_norm': 1.8163737058639526, 'learning_rate': 1.995138888888889e-05, 'epoch': 0.05}
{'loss': 0.6007, 'grad_norm': 2.686349391937256, 'learning_rate': 1.9901785714285715e-05, 'epoch': 0.1}
{'loss': 0.5824, 'grad_norm': 2.679603338241577, 'learning_rate': 1.985218253968254e-05, 'epoch': 0.15}
{'loss': 0.5716, 'grad_norm': 3.9505865573883057, 'learning_rate': 1.9802579365079367e-05, 'epoch': 0.2}
{'loss': 0.5296, 'grad_norm': 5.755943298339844, 'learning_rate': 1.975297619047619e-05, 'epoch': 0.25}
{'loss': 0.4722, 'grad_norm': 6.862400531768799, 'learning_rate': 1.9703373015873016e-05, 'epoch': 0.3}
{'loss': 0.5664, 'grad_norm': 3.1835885047912598, 'learning_rate': 1.9654761904761905e-05, 'epoch': 0.35}
{'loss': 0.5107, 'grad_norm': 3.9245784282684326, 'learning_rate': 1.960515873015873e-05, 'epoch': 0.4}
{'loss': 0.5077, 'grad_norm': 7.401317119598389, 'learning_rate': 1.9555555555555557e-05, 'epoch': 0.45}
{'loss': 0.4986, 'grad_norm': 4.352968692779541, 'learning_rate': 1.950595238095238e-05, 'epoch': 0.5}
{'loss': 0.5219, 'grad_norm': 3.0907890796661377, 'learning_rate': 1.945634920634921e-05, 'epoch': 0.55}
{'loss': 0.5023, 'grad_norm': 4.517261505126953, 'learning_rate': 1.9406746031746033e-05, 'epoch': 0.6}
{'loss': 0.4857, 'grad_norm': 2.9781293869018555, 'learning_rate': 1.9357142857142858e-05, 'epoch': 0.64}
{'loss': 0.4934, 'grad_norm': 3.677365303039551, 'learning_rate': 1.9307539682539685e-05, 'epoch': 0.69}
{'loss': 0.5101, 'grad_norm': 3.3359243869781494, 'learning_rate': 1.925793650793651e-05, 'epoch': 0.74}
{'loss': 0.4658, 'grad_norm': 3.328413486480713, 'learning_rate': 1.9208333333333337e-05, 'epoch': 0.79}
{'loss': 0.4734, 'grad_norm': 3.677091598510742, 'learning_rate': 1.915873015873016e-05, 'epoch': 0.84}
{'loss': 0.5145, 'grad_norm': 6.0810112953186035, 'learning_rate': 1.9109126984126986e-05, 'epoch': 0.89}
{'loss': 0.4721, 'grad_norm': 3.401365041732788, 'learning_rate': 1.905952380952381e-05, 'epoch': 0.94}
{'loss': 0.4391, 'grad_norm': 5.17095422744751, 'learning_rate': 1.9009920634920634e-05, 'epoch': 0.99}
{'eval_loss': 0.4962252676486969, 'eval_accuracy': 0.773697270471464, 'eval_runtime': 2.1316, 'eval_samples_per_second': 1890.638, 'eval_steps_per_second': 118.223, 'epoch': 1.0}
{'loss': 0.384, 'grad_norm': 2.9740443229675293, 'learning_rate': 1.8960317460317462e-05, 'epoch': 1.04}
{'loss': 0.4246, 'grad_norm': 3.507155656814575, 'learning_rate': 1.8910714285714286e-05, 'epoch': 1.09}
{'loss': 0.4236, 'grad_norm': 4.54771614074707, 'learning_rate': 1.8861111111111114e-05, 'epoch': 1.14}
{'loss': 0.4123, 'grad_norm': 8.552518844604492, 'learning_rate': 1.8811507936507938e-05, 'epoch': 1.19}
{'loss': 0.3802, 'grad_norm': 2.751530885696411, 'learning_rate': 1.8761904761904762e-05, 'epoch': 1.24}
{'loss': 0.4301, 'grad_norm': 6.369096755981445, 'learning_rate': 1.871230158730159e-05, 'epoch': 1.29}
{'loss': 0.4246, 'grad_norm': 3.9658844470977783, 'learning_rate': 1.8663690476190476e-05, 'epoch': 1.34}
{'loss': 0.373, 'grad_norm': 5.127078533172607, 'learning_rate': 1.8614087301587304e-05, 'epoch': 1.39}
{'loss': 0.4171, 'grad_norm': 4.913084506988525, 'learning_rate': 1.8564484126984128e-05, 'epoch': 1.44}
{'loss': 0.4308, 'grad_norm': 8.315208435058594, 'learning_rate': 1.8514880952380952e-05, 'epoch': 1.49}
{'loss': 0.3716, 'grad_norm': 6.949559211730957, 'learning_rate': 1.846527777777778e-05, 'epoch': 1.54}
{'loss': 0.4264, 'grad_norm': 7.552481651306152, 'learning_rate': 1.8415674603174604e-05, 'epoch': 1.59}
{'loss': 0.3842, 'grad_norm': 6.221029758453369, 'learning_rate': 1.836607142857143e-05, 'epoch': 1.64}
{'loss': 0.4463, 'grad_norm': 8.973134994506836, 'learning_rate': 1.8316468253968256e-05, 'epoch': 1.69}
{'loss': 0.4239, 'grad_norm': 5.461731433868408, 'learning_rate': 1.826686507936508e-05, 'epoch': 1.74}
{'loss': 0.3992, 'grad_norm': 5.116355895996094, 'learning_rate': 1.8217261904761908e-05, 'epoch': 1.79}
{'loss': 0.4194, 'grad_norm': 8.067140579223633, 'learning_rate': 1.8167658730158732e-05, 'epoch': 1.84}
{'loss': 0.4212, 'grad_norm': 5.285398006439209, 'learning_rate': 1.8118055555555556e-05, 'epoch': 1.88}
{'loss': 0.4183, 'grad_norm': 5.533576965332031, 'learning_rate': 1.806845238095238e-05, 'epoch': 1.93}
{'loss': 0.4051, 'grad_norm': 5.758559226989746, 'learning_rate': 1.8018849206349208e-05, 'epoch': 1.98}
{'eval_loss': 0.5065866112709045, 'eval_accuracy': 0.7704714640198511, 'eval_runtime': 2.1076, 'eval_samples_per_second': 1912.147, 'eval_steps_per_second': 119.568, 'epoch': 2.0}
{'loss': 0.3673, 'grad_norm': 9.343955039978027, 'learning_rate': 1.7969246031746032e-05, 'epoch': 2.03}
{'loss': 0.2826, 'grad_norm': 8.202208518981934, 'learning_rate': 1.7919642857142857e-05, 'epoch': 2.08}
{'loss': 0.3086, 'grad_norm': 4.835061550140381, 'learning_rate': 1.7870039682539684e-05, 'epoch': 2.13}
{'loss': 0.3051, 'grad_norm': 6.466001033782959, 'learning_rate': 1.782043650793651e-05, 'epoch': 2.18}
{'loss': 0.2668, 'grad_norm': 3.57285213470459, 'learning_rate': 1.7770833333333336e-05, 'epoch': 2.23}
{'loss': 0.3083, 'grad_norm': 5.002655506134033, 'learning_rate': 1.772123015873016e-05, 'epoch': 2.28}
{'loss': 0.2872, 'grad_norm': 6.879384517669678, 'learning_rate': 1.7671626984126985e-05, 'epoch': 2.33}
{'loss': 0.3073, 'grad_norm': 9.53097915649414, 'learning_rate': 1.7622023809523812e-05, 'epoch': 2.38}
{'loss': 0.2546, 'grad_norm': 6.011934280395508, 'learning_rate': 1.7572420634920636e-05, 'epoch': 2.43}
{'loss': 0.2835, 'grad_norm': 10.602505683898926, 'learning_rate': 1.7522817460317464e-05, 'epoch': 2.48}
{'loss': 0.3439, 'grad_norm': 11.481456756591797, 'learning_rate': 1.7473214285714285e-05, 'epoch': 2.53}
{'loss': 0.2869, 'grad_norm': 15.76180362701416, 'learning_rate': 1.7423611111111113e-05, 'epoch': 2.58}
{'loss': 0.2802, 'grad_norm': 10.560348510742188, 'learning_rate': 1.7374007936507937e-05, 'epoch': 2.63}
{'loss': 0.3094, 'grad_norm': 11.71619987487793, 'learning_rate': 1.7324404761904764e-05, 'epoch': 2.68}
{'loss': 0.3082, 'grad_norm': 7.688663005828857, 'learning_rate': 1.727480158730159e-05, 'epoch': 2.73}
{'loss': 0.3096, 'grad_norm': 11.918423652648926, 'learning_rate': 1.7225198412698413e-05, 'epoch': 2.78}
{'loss': 0.2829, 'grad_norm': 7.791075229644775, 'learning_rate': 1.717559523809524e-05, 'epoch': 2.83}
{'loss': 0.3506, 'grad_norm': 7.830275535583496, 'learning_rate': 1.7125992063492065e-05, 'epoch': 2.88}
{'loss': 0.3229, 'grad_norm': 8.220075607299805, 'learning_rate': 1.707638888888889e-05, 'epoch': 2.93}
{'loss': 0.3264, 'grad_norm': 8.702041625976562, 'learning_rate': 1.7026785714285717e-05, 'epoch': 2.98}
{'eval_loss': 0.5538873672485352, 'eval_accuracy': 0.771712158808933, 'eval_runtime': 2.1078, 'eval_samples_per_second': 1911.98, 'eval_steps_per_second': 119.558, 'epoch': 3.0}
{'loss': 0.2257, 'grad_norm': 18.878803253173828, 'learning_rate': 1.697718253968254e-05, 'epoch': 3.03}
{'loss': 0.1592, 'grad_norm': 19.113645553588867, 'learning_rate': 1.692757936507937e-05, 'epoch': 3.08}
{'loss': 0.2076, 'grad_norm': 16.366313934326172, 'learning_rate': 1.6877976190476193e-05, 'epoch': 3.12}
{'loss': 0.1946, 'grad_norm': 1.99657142162323, 'learning_rate': 1.6828373015873017e-05, 'epoch': 3.17}
{'loss': 0.1935, 'grad_norm': 13.127872467041016, 'learning_rate': 1.677876984126984e-05, 'epoch': 3.22}
{'loss': 0.2095, 'grad_norm': 19.71257781982422, 'learning_rate': 1.672916666666667e-05, 'epoch': 3.27}
{'loss': 0.2451, 'grad_norm': 15.92153263092041, 'learning_rate': 1.6679563492063493e-05, 'epoch': 3.32}
{'loss': 0.1681, 'grad_norm': 1.3797527551651, 'learning_rate': 1.6630952380952383e-05, 'epoch': 3.37}
{'loss': 0.182, 'grad_norm': 0.38163334131240845, 'learning_rate': 1.6581349206349207e-05, 'epoch': 3.42}
{'loss': 0.2726, 'grad_norm': 17.70708465576172, 'learning_rate': 1.653174603174603e-05, 'epoch': 3.47}
